MES,REGIAO_PAIS,POPULACAO,CID_TIPO,SEXO,BENEF_TIPO,STATUS_BENEFICIARIO,QTD_BENEFICIOS,TAXA_BENEFICIOS
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Empregado,165,0.9665177741154239
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Facultativo,14,0.08200756871282384
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,4,0.02343073391794967
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,6,0.035146100876924505
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Autônomo,51,0.29874185745385834
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Desempregado,64,0.3748917426871947
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Doméstico,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Empregado,84,0.4920454122769431
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,3,0.017573050438462252
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,3,0.017573050438462252
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Autônomo,21,0.12301135306923577
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Desempregado,12,0.07029220175384901
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Doméstico,5,0.029288417397437087
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Empregado,80,0.4686146783589934
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Facultativo,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Segurado Especial,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Autônomo,20,0.11715366958974835
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Desempregado,18,0.10543830263077351
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Empregado,54,0.31631490789232053
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Facultativo,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Segurado Especial,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Autônomo,27,0.15815745394616026
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Desempregado,21,0.12301135306923577
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Doméstico,12,0.07029220175384901
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Empregado,67,0.39246479312565696
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Facultativo,5,0.029288417397437087
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,3,0.017573050438462252
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Autônomo,24,0.14058440350769802
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Desempregado,56,0.3280302748512954
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Doméstico,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Empregado,77,0.4510416279205312
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Facultativo,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças infecciosas e parasitárias,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,11,0.0644345182743616
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Autônomo,968,5.67023760814382
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Desempregado,664,3.889501830379645
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Doméstico,307,1.7983088282026374
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Empregado,1205,7.0585085927823386
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Facultativo,174,1.0192369254308107
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,68,0.3983224766051444
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,9,0.05271915131538676
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,41,0.2401650226589841
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Feminino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Autônomo,675,3.953936348654007
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Desempregado,692,4.053516967805293
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Doméstico,13,0.07614988523333643
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Empregado,1343,7.866868912951601
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Facultativo,25,0.14644208698718544
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,70,0.41003784356411926
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,24,0.14058440350769802
2024-06-01,Centro-Oeste,17071595,Doenças osteomusculares,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,92,0.5389068801128424
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Autônomo,30,0.1757305043846225
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Desempregado,14,0.08200756871282384
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Doméstico,20,0.11715366958974835
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Empregado,345,2.020900800423159
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca Previdenciário,Facultativo,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Autônomo,4,0.02343073391794967
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Desempregado,8,0.04686146783589934
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Doméstico,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Feminino,Auxílio Salario Maternidade,Facultativo,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,"Gravidez, parto e puerpério",Masculino,Auxílio Doenca Previdenciário,Empregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Autônomo,226,1.3238364663641564
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Desempregado,161,0.9430870401974742
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Doméstico,77,0.4510416279205312
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Empregado,593,3.4736063033360387
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Facultativo,28,0.1640151374256477
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca Previdenciário,Segurado Especial,21,0.12301135306923577
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Autônomo,109,0.6384874992641285
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Desempregado,99,0.5799106644692543
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Doméstico,3,0.017573050438462252
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Empregado,198,1.1598213289385086
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Facultativo,6,0.035146100876924505
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca Previdenciário,Segurado Especial,10,0.058576834794874175
2024-06-01,Centro-Oeste,17071595,Neoplasias (tumores),Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Autônomo,496,2.9054110058257594
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Desempregado,225,1.317978782884669
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Doméstico,161,0.9430870401974742
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Empregado,1556,9.114555494082422
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Facultativo,48,0.28116880701539604
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,32,0.18744587134359736
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca por Acidente do Trabalho,Doméstico,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,4,0.02343073391794967
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Autônomo,374,2.1907736213282942
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Desempregado,271,1.5874322229410902
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Doméstico,10,0.058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Empregado,1333,7.808292078156727
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Facultativo,10,0.058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,32,0.18744587134359736
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Outros,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,35,0.20501892178205963
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Autônomo,262,1.5347130716257034
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Desempregado,582,3.4091717850616767
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Doméstico,56,0.3280302748512954
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Empregado,1357,7.948876481664426
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Facultativo,43,0.25188038961795894
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,6,0.035146100876924505
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,29,0.1698728209051351
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Autônomo,131,0.7673565358128517
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Desempregado,397,2.3255003413565047
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Empregado,708,4.147239903477091
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Facultativo,10,0.058576834794874175
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,4,0.02343073391794967
2024-06-01,Centro-Oeste,17071595,Transtornos mentais e comportamentais,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,16,0.09372293567179868
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Autônomo,329,1.9271778647513604
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Desempregado,292,1.7104435760103258
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Doméstico,155,0.9079409393205498
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Empregado,1179,6.906208822315666
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Facultativo,33,0.1933035548230848
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,28,0.1640151374256477
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,15,0.08786525219231126
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Doméstico,12,0.07029220175384901
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,214,1.2535442646103072
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Autônomo,539,3.157291395443718
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Desempregado,702,4.112093802600167
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Doméstico,17,0.0995806191512861
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Empregado,2675,15.66930330762884
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Facultativo,8,0.04686146783589934
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,52,0.30459954093334574
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Autônomo,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,65,0.3807494261666821
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Doméstico,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,752,4.404977976574538
2024-06-01,Centro-Oeste,17071595,Traumatismos e envenenamentos,Masculino,Auxílio Doenca por Acidente do Trabalho,Segurado Especial,2,0.011715366958974835
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Autônomo,195,0.34143380064356244
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Desempregado,117,0.2048602803861375
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Doméstico,57,0.0998037263419644
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Empregado,307,0.5375393681926854
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Facultativo,33,0.057781104724295186
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,Circulatório,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,222,0.38870924996344036
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Aposentadoria Invalidez Previdenciária,Desempregado,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Autônomo,398,0.6968751418263479
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Desempregado,423,0.7406487060114201
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Doméstico,5,0.008754712837014421
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Empregado,610,1.0680749661157594
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Facultativo,24,0.042022621617669224
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,314,0.5497959661645057
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,Circulatório,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,7,0.01225659797182019
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Autônomo,163,0.28540363848667016
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Desempregado,137,0.23987913173419514
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Doméstico,31,0.05427921958948941
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Empregado,255,0.4464903546877355
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Facultativo,26,0.04552450675247499
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,116,0.20310933781873458
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Desempregado,10,0.017509425674028842
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,34,0.059532047291698066
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Autônomo,86,0.15058106079664807
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Desempregado,136,0.23812818916679226
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Doméstico,2,0.003501885134805769
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Empregado,203,0.35544134118278553
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Facultativo,6,0.010505655404417306
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Optante Pela Lei 6.184/74,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,83,0.1453282330944394
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca por Acidente do Trabalho,Desempregado,11,0.01926036824143173
2024-06-01,Nordeste,57112096,Doenças do sistema nervoso,Masculino,Auxílio Doenca por Acidente do Trabalho,Empregado,25,0.04377356418507211
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Autônomo,53,0.09279995607235288
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Desempregado,26,0.04552450675247499
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Doméstico,16,0.028015081078446153
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Empregado,63,0.1103093817463817
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Facultativo,7,0.01225659797182019
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Feminino,Auxílio Doenca Previdenciário,Segurado Especial,60,0.10505655404417305
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,1,0.0017509425674028846
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Autônomo,71,0.12431692228560479
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Desempregado,62,0.10855843917897882
2024-06-01,Nordeste,57112096,"Doenças endócrinas, nutricionais e metabólicas",Masculino,Auxílio Doenca Previdenciário,Doméstico,1,0.0017509425674028846
